country,city,monitor_type
CI,Abidjan,pm25
GH,Accra,"pm10, pm25"
GH,Accra,"pm10, pm25"
GH,Accra,"pm10, pm25"
GH,Accra,"pm10, pm25"
GH,Accra,"pm10, pm25"
GH,Accra,"pm10, pm25"
GH,Accra,"pm10, pm25"
GH,Accra,"pm10, pm25"
GH,Accra,"pm10, pm25"
GH,Accra,"pm10, pm25"
GH,Accra,"pm10, pm25"
GH,Accra,pm25
ET,Addis Ababa,pm25
ET,Addis Ababa,pm25
KE,Nairobi,"pm10, pm25"
KE,Nairobi,"pm10, pm25"
CN,Beijing,pm25
CN,Beijing,pm25
CN,Chengdu,pm25
CN,Guangzhou,pm25
CN,Shanghai,pm25
TH,Bangkok,"co, no2, o3, pm10"
TH,Bangkok,"co, no2, o3, pm10, so2"
TH,Bangkok,"co, no2, o3, pm10, so2"
TH,Bangkok,"co, no2, o3, pm10, so2"
TH,Bangkok,"co, no2, o3, pm10, so2"
TH,Bangkok,"co, no2, o3, pm10, so2"
TH,Bangkok,"co, no2, o3, pm10, so2"
TH,Bangkok,"no2, o3, pm10, so2"
TH,Bangkok,"co, no2, o3, pm10, so2"
TH,Bangkok,"co, no2, pm10"
TH,Bangkok,"co, no2, o3, pm10, so2"
TH,Bangkok,"no2, o3, pm10, so2"
TH,Bangkok,"co, no2, o3, pm10, so2"
TH,Bangkok,"co, no2, o3, pm10, so2"
VN,Hanoi,pm25
VN,Hanoi,pm25
VN,Hanoi,pm25
VN,Ho Chi Minh City,pm25
VN,Ho Chi Minh City,pm25
ID,Jakarta,pm25
ID,Jakarta,pm25
ID,Jakarta,pm25
ID,Jakarta,pm25
AU,Melbourne,"co, no2, o3, pm10, pm25, so2"
AU,Melbourne,pm25
AU,Melbourne,pm25
AU,Melbourne,"pm10, pm25"
AU,Melbourne,"pm10, pm25"
AU,Melbourne,"pm10, pm25"
AU,Melbourne,"no2, o3, pm10, pm25"
AU,Melbourne,"co, no2, o3, pm10, pm25, so2"
AU,Melbourne,pm25
AU,Melbourne,pm25
AU,Melbourne,"o3, pm10, pm25"
US,Palm Bay-Melbourne-Titusville,o3
US,Palm Bay-Melbourne-Titusville,"o3, pm10, pm25"
SG,Singapore,pm25
AU,Sydney East,"co, no2, o3, pm10, pm25, so2"
AU,Sydney East,"co, no2, o3, pm10, pm25, so2"
AU,Sydney East,"no2, o3, pm10, pm25, so2"
AU,Sydney East,"co, no2, o3, so2"
AU,Sydney East,"co, no2, o3, pm10, pm25, so2"
AU,Sydney East,"co, no2, o3, pm10, pm25, so2"
AU,Sydney East,"co, no2, o3, pm10, pm25, so2"
AU,Sydney North-west,"co, no2, o3, pm10, pm25, so2"
AU,Sydney North-west,"co, no2, o3, pm10, pm25, so2"
AU,Sydney North-west,"co, no2, o3, pm10, pm25, so2"
AU,Sydney North-west,"co, no2, o3, pm10, pm25, so2"
AU,Sydney North-west,"no2, o3, pm10, pm25, so2"
AU,Sydney North-west,"co, no2, o3, so2"
AU,Sydney South-west,"no2, o3, pm10, pm25, so2"
AU,Sydney South-west,"co, no2, o3, pm10, pm25, so2"
AU,Sydney South-west,"co, no2, o3, pm10, pm25, so2"
AU,Sydney South-west,"co, no2, o3, pm10, pm25, so2"
AU,Sydney South-west,"co, no2, o3, pm10, pm25, so2"
AU,Sydney South-west,"no2, o3, pm10, pm25, so2"
NL,Amsterdam,pm10
NL,Amsterdam,"co, no2, pm10, pm25"
NL,Amsterdam,no2
NL,Amsterdam,"no2, pm10, pm25, so2"
NL,Amsterdam,"no2, pm10"
NL,Amsterdam,no2
NL,Amsterdam,"no2, o3"
NL,Amsterdam,no2
NL,Amsterdam,"no2, pm10, pm25"
NL,Amsterdam,no2
NL,Amsterdam,"no2, pm10, pm25"
NL,Amsterdam,"co, no2, o3, pm10, pm25"
NL,Amsterdam,"co, no2, o3, pm10, pm25"
NL,Amsterdam,"pm10, pm25, so2"
US,Athens,pm25
US,Athens,"co, no2, o3, so2"
US,Athens-Clarke County,"o3, pm10, pm25"
ES,Barcelona,"co, no2, o3, so2"
ES,Barcelona,no2
ES,Barcelona,"no2, pm10"
ES,Barcelona,"no2, o3, pm10, so2"
ES,Barcelona,no2
ES,Barcelona,"co, no2, o3, so2"
ES,Barcelona,"co, no2, o3, so2"
ES,Barcelona,no2
ES,Barcelona,"co, no2, o3, so2"
